,dao_name,date,new_users_count,existing_users,new_user_percentage
20,MetricsDAO,2022-09-08,,,
21,MetricsDAO,2022-12-22,56.0,97.0,36.6013
22,MetricsDAO,2022-11-30,,,
23,MetricsDAO,2022-08-05,1.0,1.0,50.0
24,MetricsDAO,2022-09-26,6.0,20.0,23.0769
25,MetricsDAO,2022-09-13,2.0,8.0,20.0
26,MetricsDAO,2022-10-07,103.0,77.0,57.2222
27,MetricsDAO,2022-10-14,8.0,2.0,80.0
28,MetricsDAO,2022-09-16,,,
29,MetricsDAO,2022-12-02,78.0,147.0,34.6667
30,MetricsDAO,2022-12-09,54.0,100.0,35.0649
31,MetricsDAO,2022-07-13,4.0,1.0,80.0
32,MetricsDAO,2022-12-15,57.0,101.0,36.0759
33,MetricsDAO,2022-07-25,2.0,2.0,50.0
34,MetricsDAO,2022-08-29,,,
35,MetricsDAO,2022-07-26,1.0,0.0,100.0
36,MetricsDAO,2022-10-28,372.0,23.0,94.1772
37,MetricsDAO,2022-12-19,,,
38,MetricsDAO,2023-01-06,945.0,78.0,92.3754
39,MetricsDAO,2022-11-10,152.0,71.0,68.1614
40,MetricsDAO,2022-10-13,,,
41,MetricsDAO,2022-10-17,,,
42,MetricsDAO,2022-09-19,,,
43,MetricsDAO,2022-12-20,4.0,41.0,8.8889
44,MetricsDAO,2022-11-17,95.0,103.0,47.9798
45,MetricsDAO,2022-12-13,5.0,34.0,12.8205
46,MetricsDAO,2022-11-16,1.0,38.0,2.5641
47,MetricsDAO,2022-11-28,51.0,101.0,33.5526
48,MetricsDAO,2022-11-15,10.0,26.0,27.7778
49,MetricsDAO,2022-08-26,1.0,3.0,25.0
50,MetricsDAO,2022-08-16,126.0,24.0,84.0
51,MetricsDAO,2022-10-21,14.0,11.0,56.0
52,MetricsDAO,2022-11-04,180.0,33.0,84.507
53,MetricsDAO,2022-08-17,,,
54,MetricsDAO,2022-09-07,,,
55,MetricsDAO,2022-09-23,,,
